22:38:22.606518	8074	html_file.cpp  	12	WebResources   	Info: Find 17 HTML files..
22:38:22.606534	8074	tcp_server.cpp 	12	init           	Info: 创建 TCPserver
22:38:22.606551	8074	tcp_server.cpp 	31	beginServer    	Info: Server begin.......
22:38:22.606564	8074	tcp_thread_pool	16	begin          	Info: Thread pool begin!  threadNum : 5
22:38:22.606772	8074	tcp_acceptor.cp	51	createListenSoc	Info: creeate socket success!
22:38:22.607181	8081	tcp_acceptor.cp	27	Loop           	Info: acceptor listen begin.......
22:38:25.979610	8081	tcp_acceptor_ep	41	acceptLoop     	Info: new player socket: 59 ip: 192.168.43.110 port: 56574 nums: 1907041467
22:38:25.980766	8081	tcp_thread_pool	60	pushConnect    	Info: PoolProcess::pushConnect59   epollfd:5
22:38:25.980770	8081	tcp_thread_pool	93	weakup         	Info: process weak up!59
22:38:25.980817	8076	tcp_thread_pool	105	receiveWeakup  	Info: new fd: 59
22:38:25.980838	8076	tcp_buff_pool.c	99	getBuf         	Info: get buffer size: 2048 index: 
22:38:25.980845	8076	tcp_buff_pool.c	99	getBuf         	Info: get buffer size: 2048 index: 
22:38:25.982117	8076	tcp_buffer.cpp 	30	saveReadable   	Info: read begin: fd = 59
22:38:25.982148	8076	tcp_server.cpp 	107	connReadable   	Info: connection can be read!
22:38:25.982791	8076	http_server.cpp	94	dealMessage    	Info: Begin dealMessage...

Log Message: Cost time: 3377.759ms, write bytes: 1.008Kb, Log reload: 0, Work ratio: 0.012%, Speeds: 0.000Mb/s
22:38:25.983558	8076	http_server.cpp	102	dealMessage    	Info: New  player!
22:38:25.983589	8076	http_request.cp	12	readMessage    	Info: read http message begin..
22:38:25.983599	8076	http_request.cp	146	getHeaderFields	Info: get header begin....
22:38:25.983617	8076	http_request.cp	43	readMessage    	Info: read message without entity
22:38:25.983629	8076	http_deal.cpp  	127	sendFile       	Info: send size:89
22:38:25.984105	8076	tcp_channel.cpp	75	enableWrite    	Info: channel: 59  enable write...
